"Station";"Name";"Höhe m";"Datum";"Zeit";"T °C";"TP °C";"RF %";"WR °";"WG km/h";"WSR °";"WSG km/h";"N l/m²";"LDred hPa";"LDstat hPa";"SO %"
11010;"Linz/Hörsching";298;"19-07-2013";"21:00";24,6;15,5;59;330;7,6;;9,4;0;1015,9;980,4;18
11012;"Kremsmünster";383;"19-07-2013";"21:00";23,3;13,2;60;93;1,4;15;11,2;0;1016,1;971,9;29
11022;"Retz";320;"19-07-2013";"21:00";23,3;;55;340;8,6;338;15,8;0;1015,3;978,9;14
11035;"Wien/Hohe Warte";203;"19-07-2013";"21:00";24,4;14,5;57;301;8,3;315;11,9;0;1015,3;991,5;20
11036;"Wien/Schwechat";183;"19-07-2013";"21:00";24,4;13,5;54;340;5,4;;11,2;0;1015,3;994,7;0
11101;"Bregenz";424;"19-07-2013";"21:00";20,5;16,2;77;127;11,5;100;35,6;0;1016,7;966,3;33
11121;"Innsbruck";579;"19-07-2013";"21:00";21,5;14,6;65;121;9,4;131;16,9;0;1017;951,1;0
11126;"Patscherkofel";2247;"19-07-2013";"21:00";9,8;8,2;90;60;25,2;63;34,6;0;;782,1;0
11130;"Kufstein";495;"19-07-2013";"21:00";21,5;;77;242;6,5;232;19,4;0;1016,5;960,8;0
11150;"Salzburg";430;"19-07-2013";"21:00";24;12,6;51;280;5,4;;16,6;0;1016,1;965,4;17
11155;"Feuerkogel";1618;"19-07-2013";"21:00";14,4;9,3;72;358;11,2;19;19,1;0;;843,2;56
11157;"Aigen im Ennstal";640;"19-07-2013";"21:00";17,9;15,9;88;224;0,4;300;5,8;0;1017;943,5;0
11171;"Mariazell";866;"19-07-2013";"21:00";16,4;13,8;85;158;4,3;163;8,3;0;1018;920,7;7
11190;"Eisenstadt";184;"19-07-2013";"21:00";22,7;15,3;63;349;15,1;357;21,2;0;1015,2;994,3;3
11204;"Lienz";659;"19-07-2013";"21:00";18,8;14,9;78;274;15,5;41;45;0;1018,2;942,7;0
11240;"Graz/Flughafen";340;"19-07-2013";"21:00";24,7;13,2;;70;5,4;;16,6;0;1015,5;974,5;0
11244;"Bad Gleichenberg";280;"19-07-2013";"21:00";22,5;;66;340;5,8;343;8,3;0;1016,2;985,2;0
11265;"Villacher Alpe";2140;"19-07-2013";"21:00";12,2;6,8;70;153;11,2;143;20,2;0;;790,3;0
11331;"Klagenfurt/Flughafen";447;"19-07-2013";"21:00";26,2;11,9;41;180;7,6;83;15,5;0;1014,5;964;0
11343;"Sonnblick";3105;"19-07-2013";"21:00";3,9;3,9;100;37;13,7;51;29,2;0,1;;704,2;0
11389;"St. Pölten";270;"19-07-2013";"21:00";23,8;16,3;63;168;7,6;171;10,8;0;1015,9;985,2;23
